"time","call_identity_connected","cleanup_detach_events","cleanup_shots_scheduled","client_disconnected","fire_vehicle_weapon","fire_weapon","interact_vehicle","projectile_impact","reload_vehicle_weapon","reload_weapon","request_chunks","reset_map","send_chat","set_loadout","set_username","switch_vehicle_weapon","sync_entity_transform","tick_environment","tick_grenades","tick_health_regen","tick_vehicles","update_position","update_vehicle_input","vehicle_projectile_impact"
"2026-03-17T10:36:00.000Z",0,0.000025291999999987882,0.00005596810000003672,0,0.000014840100000013124,0,0,0,0,0,0,0,0,0,0,0,0,0.000007920000000005701,0.002415595499985557,0.00006334859999999055,0.012990455599947381,0.0012313336999980606,0.002828129099998478,0.006714325000000088
"2026-03-17T10:36:30.000Z",0,0.00002665620000001923,0.0000537881999999712,0,0.000023468199999987505,0,0,0,0,0,0,0,0,0,0,0,0,0.000008196100000001927,0.0023076460000311274,0.0000705761999999055,0.013726142900077322,0.0012011133000036978,0.0026887783000001165,0.006526816299999894
"2026-03-17T10:37:00.000Z",0,0.000010268000000035471,0.00002452420000000899,0,0.00003714020000002982,0,0,0,0,0,0,0,0,0,0,0,0,0.000012044000000011047,0.002417911100025094,0.0000714802000000958,0.012746738899977572,0.0013582624999948223,0.0027081667000004475,0.009643282000000043
"2026-03-17T10:37:30.000Z",0,0.00003271620000000475,0.00007650430000003539,0,0.00008761610000003196,0,0,0,0,0,0,0,0,0,0,0,0,0.0000086400000000042,0.002389299299977665,0.00007103640000014622,0.013437438799701341,0.0018112528000003181,0.0031352209999994333,0.01921407570000007
"2026-03-17T10:38:00.000Z",0,0.000015292000000011186,0.00001999999999995339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009047999999989287,0.0017951642000070935,0.00007534819999985843,0.010746310300237384,0,0,0
"2026-03-17T10:38:30.000Z",0,0.000014184000000039277,0.00002277199999998203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006719999999993398,0.002011140000007572,0.00007231599999997229,0.010879783900099938,0,0,0
"2026-03-17T10:39:00.000Z",0,0.000012052099999992905,0.000021643999999998443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000011475999999999155,0.0017962357999579126,0.00007381239999979528,0.010993372400344016,0,0,0
"2026-03-17T10:39:30.000Z",0,0.000013056099999975147,0.000020544000000022323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008164000000010497,0.0017577394000056756,0.00006919659999997663,0.010800035800230035,0,0,0
"2026-03-17T10:40:00.000Z",0,0.000013300100000002146,0.00001815210000000178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000070240999999970915,0.0017900596999766095,0.00008580429999991424,0.010864240299451922,0,0,0
"2026-03-17T10:40:30.000Z",0,0.000014900100000003747,0.000023968000000085257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000071001000000014976,0.002122041000046693,0.00007290050000019477,0.011398886399456389,0,0,0
"2026-03-17T10:41:00.000Z",0,0.000014164100000035874,0.000020268000000012167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008944100000007894,0.0017592626999942242,0.00006745610000020718,0.01081331140007933,0,0,0
"2026-03-17T10:41:30.000Z",0,0.000014520000000040058,0.000018944199999992862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000863200000000841,0.001772476699949266,0.0000799284000001066,0.010973147900040205,0,0,0
"2026-03-17T10:42:00.000Z",0,0.00001248399999997929,0.000018416100000084867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008968000000009192,0.0017720995000217955,0.00007405209999991059,0.011021275799839714,0,0,0
"2026-03-17T10:42:30.000Z",0,0.000013908099999992985,0.000023244100000052726,0,0,0,0,0,0,0,0,0.013134597599999865,0,0,0,0,0,0.000008608100000007113,0.0018445272999542796,0.00007491220000002131,0.01015308519995415,0,0,0
"2026-03-17T10:43:00.000Z",0,0.000014648099999980958,0.0000197519999999507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007972100000008809,0.0018365251000261652,0.00006464440000026883,0.007490584199922524,0,0,0
"2026-03-17T10:43:30.000Z",0,0.000014380100000011,0.00002043609999997642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000877599999999923,0.0018113409000136472,0.00008426849999985109,0.007863074999522724,0,0,0
"2026-03-17T10:44:00.000Z",0,0.00001651600000003306,0.000020303999999971012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008548000000008216,0.0018212611999956609,0.00006576020000021998,0.007706164699948204,0,0,0
"2026-03-17T10:44:30.000Z",0,0.00001727200000001261,0.000020320200000067958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009912100000009083,0.001909416099988448,0.00007448440000015211,0.007794550300013726,0,0,0
"2026-03-17T10:45:00.000Z",0,0.000013616100000035658,0.000023528100000014263,0,0,0,0,0,0,0,0.20595488150000849,0,0,0,0.000014068100000000015,0,0.00011342439999983966,0.000003467999999995364,0.0016049188999943454,0.0000804522999997559,0.005893261099799929,0.00047184170000136305,0,0
"2026-03-17T10:45:30.000Z",0,0.000012304100000015695,0.00002732399999993973,0,0,0,0,0,0,0,0.0003826054999990447,0,0.00000625599999999997,0,0,0,0.00046035759999991656,0.000008180100000010349,0.0018244660000164004,0.00006766430000020307,0.009111475399868141,0.0017347752999988587,0,0
"2026-03-17T10:46:00.000Z",0,0.000014104200000009115,0.000052784299999952826,0,0,0.00004949229999997584,0,0.003215722200000215,0,0,0.006486592499993549,0,0,0,0,0,0.00038394969999986376,0.000007991999999990007,0.013812184699958152,0.00006687240000005091,0.009076137000010932,0.0015761913999980948,0,0
"2026-03-17T10:46:30.000Z",0,0.000012932199999982075,0.00004032810000005327,0,0.0005518062000000601,0,0,0,0,0,0.00010957649999454588,0,0,0,0,0.00013160859999999984,0,0.000007383999999999169,0.0021234461999767975,0.00007160809999984252,0.012446150299956571,0.001222193199998145,0.00272091850000038,0
"2026-03-17T10:47:00.000Z",0,0.000011720100000012224,0.00002680420000000794,0,0,0,0,0,0,0,0.0005110144999719068,0,0,0,0,0,0,0.000007332099999990405,0.0019345372000316276,0.00006649250000005935,0.01120818879990111,0.0010334290999985285,0.002719319999999037,0
"2026-03-17T10:47:30.000Z",0,0.000031860100000002944,0.00006014020000009169,0,0.00001842409999999184,0,0,0,0,0,0,0,0,0,0,0,0,0.000006992000000005661,0.0019201404999989792,0.00006312029999975267,0.011971468099909545,0.0010909775999977,0.0028935959000007117,0.011316497900000045
"2026-03-17T10:48:00.000Z",0,0.00001697609999999905,0.000053692199999932916,0,0.0000871765000000302,0,0,0,0,0,0,0,0,0,0,0,0,0.000010675999999998354,0.0018334639000102016,0.00006995659999997628,0.011683663100257036,0.001104648899993066,0.002516811500000493,0.02797697530000001
"2026-03-17T10:48:30.000Z",0,0.000012340000000010676,0.000026367999999976634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000091999999999981,0.0017789997999898334,0.00007794020000009284,0.009793833099820404,0,0,0
"2026-03-17T10:49:00.000Z",0,0.000012671999999991357,0.00002814420000003537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007152000000010261,0.0018835171000205265,0.00006984019999976,0.010003563900136216,0,0,0
"2026-03-17T10:49:30.000Z",0,0.000013884200000013891,0.00003300419999989757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010211999999998335,0.0020186011000021156,0.0000668161999998418,0.00955411329987328,0,0,0
"2026-03-17T10:50:00.000Z",0,0.000014036000000006155,0.000032188299999980076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000011216100000011055,0.0019176487999402526,0.00008226040000014478,0.009762874699708846,0,0,0
"2026-03-17T10:50:30.000Z",0,0.00001398800000003142,0.000032600100000035324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000788009999999062,0.001909339899987117,0.00008868819999996447,0.009858479200602233,0,0,0
"2026-03-17T10:51:00.000Z",0,0.00001734820000001136,0.00002917999999993981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007708000000006266,0.002062641700030099,0.00006995209999978158,0.00950643099977242,0,0,0
"2026-03-17T10:51:30.000Z",0,0.000012584100000001542,0.000029860099999989845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008304099999989489,0.00196698519997085,0.00007799230000031798,0.009895708600106447,0,0,0
"2026-03-17T10:52:00.000Z",0,0.000011567999999995138,0.000027207999999934176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006740000000005075,0.0017034113000249818,0.00007454010000014223,0.009134805200028495,0,0,0
"2026-03-17T10:52:30.000Z",0,0.000010132199999990377,0.00002916400000003705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008663999999991567,0.0019474334000335602,0.00008312039999989196,0.009552976099848821,0,0,0
"2026-03-17T10:53:00.000Z",0,0.000011867999999992664,0.000031932300000026006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007171999999999734,0.001729075999963925,0.00006692019999992027,0.009467477900079757,0,0,0
"2026-03-17T10:53:30.000Z",0,0.000011939999999999174,0.000029484199999973984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000005156100000003328,0.0018324046000088856,0.00007783650000003917,0.009313453900176683,0,0,0
"2026-03-17T10:54:00.000Z",0,0.000012284100000004018,0.00003199609999997577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000011004099999989414,0.001625572899956751,0.0000756163000000143,0.009588474600104747,0,0,0
"2026-03-17T10:54:30.000Z",0,0.000017456100000012855,0.00002337599999995277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007392100000003232,0.0018422994000331983,0.00006802840000030841,0.009168520300045202,0,0,0
"2026-03-17T10:55:00.000Z",0,0.000011512000000024614,0.000027484099999952607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000913609999999565,0.0016633537000075194,0.00007351650000000377,0.009418545300195548,0,0,0
"2026-03-17T10:55:30.000Z",0,0.000013372200000016933,0.000025759999999941386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008856100000009803,0.0018994680999867342,0.00007670819999994194,0.009218491899582659,0,0,0
"2026-03-17T10:56:00.000Z",0,0.000011523999999996094,0.000029208199999963824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007520100000002473,0.0019498006000333136,0.00007350040000009272,0.009729410899763025,0,0,0
"2026-03-17T10:56:30.000Z",0,0.00001332800000000134,0.00002457610000003996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010816099999999552,0.0018048796000130097,0.00007019229999993826,0.009575405500572743,0,0,0
